I_n,Q_n,P_n,L_n,R_n,G_n,alpha_L,alpha_R,alpha_G
1,-2.29,11.3,1,0.9,1,0.16,0.72,1.07
2,-0.41,14.3,1,0.9,1,0.04,0.92,0.24
3,-0.64,14.1,1,0.9,1,2.84,1.2,1.03
4,-0.23,15.5,1,0.8,1,1.52,0.44,0.65
5,-0.32,15.1,1,0.8,1,1.52,0.5,0.31
7,-1.27,12.1,1,0.97,0,0.08,1.25,0.83
10,-0.34,14.8,1,1,0,3.28,0.99,0.92
11,-1.68,11.6,1,0.86,0,0.68,0.08,1.03
14,-1.31,11.8,1,0.9,0,1.12,0.69,0.82
18,-1.22,12.8,1,1,0,2.88,0.4,0.06
22,-0.2,15.8,2,1,0,2.28,0.04,0.24
27,-0.88,13.9,2,0.9,0,1.52,0.68,0.48
31,-1.1,13.5,2,0.97,0,2.4,0.3,0.47
36,-4.29,10.4,3,0.84,1,0.52,0.69,0.33
37,-2.41,10.9,3,1,1,1.2,0.1,0.8
38,-2.64,10.5,3,0.9,1,0.6,0.38,1.08
39,-4.23,10.4,3,0.9,1,0,0.05,0.88
40,-4.32,10.3,3,0.9,1,0.12,0.05,0.47
42,-1.27,12.6,3,0.8,0,3.2,0.42,0.06
46,-1.35,11.7,4,0.6,0,3.4,1.13,0.28
48,-1.18,13.3,4,0.86,0,4.36,0.45,0.73
51,-2.26,11.4,4,0.8,0,3.56,0.7,0.45
53,-2.32,11.1,4,0.89,0,3.2,1.14,0.14
55,-2.58,10.9,4,0.7,0,1.32,1.02,0.32
